ApprovalFY,DisbursementGross_num,State,UrbanRural_f,SBA_Portion,NAICS_sector,NoEmp,SBA_Appv_num,Bank,PaidInFull
2008,510672.0,FL,Rural,0.5,42,35,150000.0,REGIONS BANK,1
2007,87569.0,OH,Urban,0.5,62,1,25000.0,THE HUNTINGTON NATIONAL BANK,1
2005,30000.0,MD,Urban,0.5,56,2,7500.0,BANK OF AMERICA NATL ASSOC,1
2005,10050.0,PA,Rural,0.5,45,2,5000.0,FIRST COMMONWEALTH BANK,1
2008,6000.0,OH,Urban,0.5,53,0,3000.0,THE HUNTINGTON NATIONAL BANK,1
2008,16416.0,TX,Urban,0.5,54,6,5000.0,U.S. BANK NATIONAL ASSOCIATION,0
2008,80000.0,IL,Urban,0.5,81,8,40000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2007,10000.0,TX,Urban,0.5,51,2,5000.0,BANK OF AMERICA NATL ASSOC,0
2002,222000.0,CA,Urban,1.0,33,41,222000.0,ECONOMIC DEVEL CORP - SHASTA C,1
2004,63000.0,WI,Rural,0.85,44,2,53550.0,BMO HARRIS BK NATL ASSOC,1
2005,50000.0,FL,Rural,0.5,44,15,25000.0,CAPITAL ONE NATL ASSOC,1
2007,200000.0,KY,Urban,0.75,72,1,150000.0,PADUCAH BK & TR CO,0
2004,1064000.0,WI,Rural,1.0,44,1,1064000.0,WISCONSIN BUS. DEVEL FINAN COR,1
2004,11500.0,MO,Urban,0.5,42,2,5000.0,BANK OF AMERICA NATL ASSOC,1
1999,220000.0,PA,Urban,0.75,31,6,165000.0,FIRST NATL BK OF PENNSYLVANIA,1
2006,25000.0,NY,Urban,0.85,54,4,21250.0,"BUSINESS LOAN CENTER, LLC",1
2001,700000.0,IL,Urban,0.75,62,5,525000.0,URBAN PARTNERSHIP BANK,1
2003,27943.0,TX,Urban,0.5,62,7,12500.0,BANK OF AMERICA NATL ASSOC,1
2009,31844.0,VT,Rural,0.5,45,3,10000.0,PEOPLE'S UNITED BANK,1
2004,25000.0,CA,Urban,0.5,23,1,12500.0,CAPITAL ONE NATL ASSOC,1
2002,50000.0,CA,Urban,0.5,42,6,25000.0,BANK OF AMERICA NATL ASSOC,0
2007,80315.0,IL,Urban,0.5,48,12,25000.0,CITIZENS BANK NATL ASSOC,0
2005,100000.0,IN,Urban,0.5,44,12,50000.0,CITIZENS BANK NATL ASSOC,1
2003,100000.0,TX,Urban,0.85,54,2,85000.0,FIRST TEXAS BANK,1
2010,35000.0,CO,Urban,1.0,23,20,35000.0,WELLS FARGO BANK NATL ASSOC,0
2004,53500.0,MA,Urban,0.5,54,5,26750.0,BANK OF AMERICA NATL ASSOC,1
2005,266000.0,OH,Rural,0.75,32,14,242250.0,FIRST FED. BK OF MIDWEST,1
2005,1120000.0,OH,Rural,0.55,33,40,616000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2007,20000.0,MO,Urban,0.5,81,2,10000.0,U.S. BANK NATIONAL ASSOCIATION,1
2005,122687.0,FL,Urban,0.5,42,9,25000.0,BANK OF AMERICA NATL ASSOC,0
2005,50700.0,OH,Rural,0.5,32,3,25350.0,JPMORGAN CHASE BANK NATL ASSOC,1
2010,150000.0,CA,Urban,0.9,33,1,135000.0,CELTIC BANK CORPORATION,1
2005,166718.0,OH,Urban,0.5,44,22,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2003,25006.0,OR,Urban,0.5,23,15,12500.0,WELLS FARGO BANK NATL ASSOC,1
2007,18000.0,NJ,Urban,0.5,72,1,5000.0,BANK OF AMERICA NATL ASSOC,0
2007,248264.0,CA,Urban,0.5,54,1,50000.0,"CITIBANK, N.A.",0
2003,34819.0,MN,Urban,0.5,81,1,12500.0,1ST NATL BK OF ELK RIVER,1
2002,1000000.0,NM,Urban,1.0,44,105,1000000.0,ENCHANTMENT LAND CERT. DEVEL C,1
2007,55000.0,OR,Rural,0.5,23,1,15000.0,WASHINGTON FEDERAL NATL ASSOC,1
1995,75000.0,OH,Urban,0.9,23,9,67500.0,THE HUNTINGTON NATIONAL BANK,1
2007,77541.0,CA,Urban,0.5,72,3,14500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2007,244000.0,CA,Urban,0.5,44,9,45000.0,BANK OF AMERICA NATL ASSOC,0
2007,25000.0,OR,Urban,0.5,44,1,12500.0,WEST COAST BANK,1
2007,119896.0,TX,Urban,0.5,72,5,30000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2005,50000.0,FL,Urban,0.5,42,6,25000.0,BANK OF AMERICA NATL ASSOC,0
2007,168163.0,MI,Urban,0.5,23,11,32500.0,WELLS FARGO BANK NATL ASSOC,0
2005,30500.0,OH,Rural,0.5,44,1,15250.0,"PNC BANK, NATIONAL ASSOCIATION",1
2010,7500.0,MA,Urban,0.9,81,1,6750.0,"SUPERIOR FINANCIAL GROUP, LLC",1
2005,10941.0,OH,Urban,0.5,33,2,2500.0,CITIZENS BANK NATL ASSOC,0
2006,36001.0,MN,Rural,0.5,23,2,15000.0,WELLS FARGO BANK NATL ASSOC,0
2007,107587.0,CO,Urban,0.5,49,14,20000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2004,2000000.0,DE,Urban,0.75,81,15,1500000.0,SUSQUEHANNA BANK,1
2007,196500.0,MN,Urban,0.5,54,15,25000.0,U.S. BANK NATIONAL ASSOCIATION,0
2006,125000.0,CT,Urban,0.5,23,2,62500.0,"TD BANK, NATIONAL ASSOCIATION",1
2008,250000.0,CA,Urban,0.75,23,34,187500.0,SUNWEST BANK,0
2007,100000.0,SC,Urban,0.5,44,4,50000.0,CAPITAL ONE NATL ASSOC,1
2003,372000.0,CA,Urban,1.0,33,20,380000.0,CDC SMALL BUS. FINAN CORP,1
2008,10000.0,WA,Urban,0.5,72,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2005,232500.0,TX,Urban,0.75,72,7,174375.0,"NEXBANK, SSB",0
2004,100000.0,CA,Urban,0.5,42,2,25000.0,UNITI BANK,1
2007,20000.0,MI,Urban,0.5,54,8,10000.0,CITIZENS BANK NATL ASSOC,1
2006,115000.0,PA,Urban,0.5,48,5,25000.0,MANUFACTURERS & TRADERS TR CO,1
2006,109851.0,WI,Urban,0.5,54,2,15000.0,WELLS FARGO BANK NATL ASSOC,1
2007,19327.0,MA,Urban,0.5,44,2,2500.0,CITIZENS BANK NATL ASSOC,1
2006,14577.0,NE,Urban,0.5,81,4,5000.0,U.S. BANK NATIONAL ASSOCIATION,1
2008,66116.0,MI,Urban,0.5,81,3,17500.0,CITIZENS BANK NATL ASSOC,0
2007,10172.0,IL,Urban,0.5,56,1,5000.0,CITIZENS BANK NATL ASSOC,1
2005,662000.0,MD,Urban,0.75,44,5,496500.0,MANUFACTURERS & TRADERS TR CO,1
2006,41544.0,IN,Urban,0.5,62,11,12500.0,CAPITAL ONE NATL ASSOC,0
2007,58677.0,CA,Urban,0.5,23,1,15000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2001,266000.0,CA,Urban,0.75,32,14,199500.0,PACIFIC WESTERN BANK,1
2003,517000.0,MD,Urban,1.0,45,10,517000.0,MID-ATLANTIC BUS. FINAN CO,1
2006,47357.0,TX,Urban,0.5,54,2,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2007,5000.0,CA,Urban,0.5,44,2,2500.0,BANK OF AMERICA NATL ASSOC,1
2000,750000.0,KS,Urban,1.0,72,100,750000.0,SOUTH CENT. KANSAS ECONOMIC DE,1
2001,375000.0,PA,Urban,0.75,42,20,281250.0,VIST BANK,1
2007,124250.0,CA,Urban,0.5,52,4,37500.0,BANK OF AMERICA NATL ASSOC,0
2004,885000.0,CA,Urban,1.0,42,32,926000.0,CDC SMALL BUS. FINAN CORP,1
2006,59273.0,CA,Rural,0.5,52,18,15000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2004,24194.0,RI,Urban,0.5,45,4,2500.0,CITIZENS BANK NATL ASSOC,0
2007,15150.0,TX,Urban,0.5,48,1,7500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2004,84995.0,IL,Urban,0.5,81,2,22500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2000,198000.0,CA,Urban,1.0,23,10,224000.0,CDC SMALL BUS. FINAN CORP,1
2002,127000.0,IN,Urban,1.0,54,25,127000.0,INDIANA STATEWIDE CERT. DEVEL,1
2007,10000.0,IL,Urban,0.85,44,1,8500.0,BBCN BANK,1
2005,50000.0,MI,Urban,0.5,56,10,25000.0,CAPITAL ONE NATL ASSOC,0
2007,27819.0,OH,Rural,0.5,54,2,12500.0,THE HUNTINGTON NATIONAL BANK,1
2002,413268.0,NV,Urban,0.75,62,1,330750.0,CALIFORNIA BANK & TRUST,0
